// input file 3

M 5
T_d 3
T_w 3
T_b 3
T_in 1
T_out 1

Company1 balance $300,000,000
Company2 balance $40,000,000
Company3 balance $300,000,000
Company4 balance $270,000,000
Company5 balance $330,000,000
Company6 balance $100,000,000
Company7 balance $440,000,000
Company8 balance $350,000,000
Company9 balance $300,000,000
Company10 balance $370,000,000
Company11 balance $60,000,000
Company12 balance $480,000,000
Company13 balance $140,000,000
Company14 balance $290,000,000
Company15 balance $220,000,000
Company16 balance $450,000,000
Company17 balance $210,000,000
Company18 balance $420,000,000
Company19 balance $240,000,000
Company20 balance $220,000,000
Company21 balance $410,000,000
Company22 balance $320,000,000
Company23 balance $120,000,000
Company24 balance $100,000,000
Company25 balance $10,000,000
Company26 balance $370,000,000
Company27 balance $140,000,000
Company28 balance $360,000,000
Company29 balance $30,000,000
Company30 balance $490,000,000
Company31 balance $280,000,000
Company32 balance $360,000,000
Company33 balance $340,000,000
Company34 balance $140,000,000
Company35 balance $40,000,000
Company36 balance $500,000,000
Company37 balance $500,000,000
Company38 balance $400,000,000
Company39 balance $270,000,000
Company40 balance $110,000,000
Company41 balance $90,000,000
Company42 balance $60,000,000
Company43 balance $490,000,000
Company44 balance $480,000,000
Company45 balance $40,000,000
Company46 balance $250,000,000
Company47 balance $320,000,000
Company48 balance $250,000,000
Company49 balance $280,000,000
Company50 balance $130,000,000


Time 1: Employee 1 Company3; check balance
Time 1: Employee 2 Company8; deposit $3600
Time 1: Employee 3 Company9; check balance
Time 1: Employee 4 Company2; deposit $3700
Time 2: Employee 5 Company3; withdrawal $500
Time 3: Employee 6 Company5; check balance
Time 4: Employee 7 Company4; withdrawal $4400
Time 4: Employee 8 Company8; withdrawal $2400
Time 4: Employee 9 Company5; deposit $800
Time 5: Employee 10 Company3; deposit $1900
Time 5: Employee 11 Company8; deposit $2600
Time 5: Employee 12 Company2; check balance
Time 5: Employee 13 Company5; check balance
Time 7: Employee 14 Company4; withdrawal $4800
Time 7: Employee 15 Company5; check balance
Time 7: Employee 16 Company3; deposit $2800
Time 8: Employee 17 Company4; withdrawal $3700
Time 8: Employee 18 Company8; withdrawal $2600
Time 8: Employee 19 Company1; check balance
Time 8: Employee 20 Company10; withdrawal $1600
Time 9: Employee 21 Company10; check balance
Time 11: Employee 22 Company2; check balance
Time 11: Employee 23 Company9; check balance
Time 12: Employee 24 Company3; check balance
Time 12: Employee 25 Company2; check balance
Time 12: Employee 26 Company1; withdrawal $100
Time 12: Employee 27 Company5; deposit $3200
Time 12: Employee 28 Company4; check balance
Time 14: Employee 29 Company7; deposit $4400
Time 15: Employee 30 Company9; check balance
Time 15: Employee 31 Company3; withdrawal $500
Time 15: Employee 32 Company1; check balance
Time 15: Employee 33 Company3; check balance
Time 15: Employee 34 Company8; deposit $2600
Time 15: Employee 35 Company1; deposit $1800
Time 15: Employee 36 Company1; deposit $2700
Time 15: Employee 37 Company10; check balance
Time 17: Employee 38 Company1; check balance
Time 19: Employee 39 Company7; withdrawal $3800
Time 21: Employee 40 Company8; deposit $1300
Time 21: Employee 41 Company8; deposit $1400
Time 23: Employee 42 Company3; check balance
Time 25: Employee 43 Company7; check balance
Time 25: Employee 44 Company2; deposit $800
Time 27: Employee 45 Company6; withdrawal $4800
Time 29: Employee 46 Company5; deposit $3000
Time 29: Employee 47 Company5; deposit $2600
Time 30: Employee 48 Company2; deposit $1300
Time 31: Employee 49 Company10; deposit $3300
Time 31: Employee 50 Company9; withdrawal $200
Time 33: Employee 51 Company2; check balance
Time 35: Employee 52 Company5; check balance
Time 36: Employee 53 Company8; withdrawal $4900
Time 36: Employee 54 Company10; deposit $4900
Time 36: Employee 55 Company8; withdrawal $2900
Time 36: Employee 56 Company4; check balance
Time 36: Employee 57 Company1; withdrawal $3500
Time 36: Employee 58 Company10; deposit $2600
Time 36: Employee 59 Company1; check balance
Time 36: Employee 60 Company5; check balance
Time 36: Employee 61 Company3; check balance
Time 38: Employee 62 Company2; deposit $3700
Time 40: Employee 63 Company2; deposit $4400
Time 41: Employee 64 Company5; withdrawal $2800
Time 43: Employee 65 Company9; withdrawal $200
Time 44: Employee 66 Company2; check balance
Time 45: Employee 67 Company10; check balance
Time 45: Employee 68 Company9; deposit $2600
Time 47: Employee 69 Company2; check balance
Time 47: Employee 70 Company5; withdrawal $1700
Time 48: Employee 71 Company2; withdrawal $1100
Time 49: Employee 72 Company8; deposit $2600
Time 49: Employee 73 Company4; deposit $1400
Time 51: Employee 74 Company2; check balance
Time 52: Employee 75 Company5; withdrawal $4000
Time 54: Employee 76 Company10; withdrawal $5000
Time 54: Employee 77 Company2; check balance
Time 54: Employee 78 Company10; withdrawal $2200
Time 55: Employee 79 Company8; withdrawal $4900
Time 56: Employee 80 Company7; withdrawal $900
Time 56: Employee 81 Company2; deposit $3200
Time 56: Employee 82 Company2; deposit $1100
Time 57: Employee 83 Company1; withdrawal $4000
Time 57: Employee 84 Company4; withdrawal $1000
Time 58: Employee 85 Company3; check balance
Time 59: Employee 86 Company2; withdrawal $2600
Time 59: Employee 87 Company10; deposit $1900
Time 59: Employee 88 Company9; deposit $3600
Time 60: Employee 89 Company2; check balance
Time 62: Employee 90 Company2; deposit $300
Time 64: Employee 91 Company6; withdrawal $3400
Time 64: Employee 92 Company9; withdrawal $1700
Time 66: Employee 93 Company9; deposit $4700
Time 66: Employee 94 Company10; check balance
Time 68: Employee 95 Company2; withdrawal $3000
Time 70: Employee 96 Company3; withdrawal $1000
Time 70: Employee 97 Company6; check balance
Time 70: Employee 98 Company8; check balance
Time 70: Employee 99 Company4; deposit $4500
Time 70: Employee 100 Company2; check balance
Time 71: Employee 101 Company8; check balance
Time 71: Employee 102 Company5; deposit $400
Time 72: Employee 103 Company8; deposit $1100
Time 72: Employee 104 Company1; check balance
Time 72: Employee 105 Company7; withdrawal $3800
Time 72: Employee 106 Company1; deposit $2100
Time 72: Employee 107 Company1; deposit $4700
Time 72: Employee 108 Company10; deposit $4100
Time 72: Employee 109 Company4; deposit $1500
Time 73: Employee 110 Company10; check balance
Time 73: Employee 111 Company8; deposit $3000
Time 73: Employee 112 Company7; check balance
Time 73: Employee 113 Company9; withdrawal $2900
Time 74: Employee 114 Company6; check balance
Time 76: Employee 115 Company8; withdrawal $4800
Time 76: Employee 116 Company1; deposit $1300
Time 76: Employee 117 Company1; check balance
Time 78: Employee 118 Company4; check balance
Time 78: Employee 119 Company10; check balance
Time 80: Employee 120 Company5; check balance
Time 82: Employee 121 Company9; check balance
Time 82: Employee 122 Company9; withdrawal $3600
Time 83: Employee 123 Company2; deposit $200
Time 85: Employee 124 Company7; check balance
Time 86: Employee 125 Company8; deposit $700
Time 86: Employee 126 Company9; deposit $1800
Time 87: Employee 127 Company7; check balance
Time 87: Employee 128 Company9; deposit $3800
Time 88: Employee 129 Company2; check balance
Time 89: Employee 130 Company4; deposit $2700
Time 91: Employee 131 Company10; check balance
Time 93: Employee 132 Company9; deposit $1200
Time 93: Employee 133 Company6; check balance
Time 95: Employee 134 Company5; withdrawal $4600
Time 95: Employee 135 Company7; check balance
Time 95: Employee 136 Company2; deposit $400
Time 95: Employee 137 Company7; check balance
Time 96: Employee 138 Company8; deposit $3800
Time 96: Employee 139 Company10; withdrawal $2400
Time 97: Employee 140 Company3; withdrawal $100
Time 97: Employee 141 Company4; check balance
Time 97: Employee 142 Company2; deposit $2500
Time 99: Employee 143 Company10; withdrawal $1300
Time 99: Employee 144 Company4; deposit $4700
Time 99: Employee 145 Company1; withdrawal $4200
Time 101: Employee 146 Company8; check balance
Time 101: Employee 147 Company5; check balance
Time 101: Employee 148 Company4; check balance
Time 102: Employee 149 Company7; withdrawal $500
Time 104: Employee 150 Company7; deposit $2900
Time 105: Employee 151 Company1; withdrawal $300
Time 106: Employee 152 Company5; deposit $3100
Time 108: Employee 153 Company10; deposit $1500
Time 108: Employee 154 Company10; deposit $4700
